month,article_count,avg_sentiment,median_sentiment,avg_char_count,avg_word_count,median_word_count
2025-03-01,40,0.4708925,0.993,13924.725,2437.925,1109.5
2025-04-01,64,0.188609375,0.8430500000000001,20681.421875,3642.984375,1152.5
2025-05-01,42,0.5091571428571429,0.99825,26612.571428571428,4746.452380952381,2631.0
2025-06-01,38,0.3641894736842105,0.9902,19817.315789473683,3451.4210526315787,1180.5
2025-07-01,47,0.43879999999999997,0.993,24431.40425531915,4313.744680851064,2246.0
2025-08-01,61,0.47778524590163934,0.9904,18211.032786885247,3156.7704918032787,1286.0
2025-09-01,28,0.7682785714285715,0.99705,19818.321428571428,3469.4285714285716,1524.5
2025-10-01,61,0.3363918032786885,0.986,16358.524590163934,2846.934426229508,1144.0
2025-11-01,73,0.5786356164383561,0.9961,17947.657534246577,3161.890410958904,1804.0
2025-12-01,43,0.6423837209302325,0.9931,13611.976744186046,2379.4186046511627,1343.0
2026-01-01,37,0.6625540540540541,0.9971,20056.783783783783,3557.5945945945946,1857.0
2026-02-01,33,0.626760606060606,0.9938,14788.242424242424,2621.3939393939395,1304.0
