result_id,feature_set,model_name,feature_group,feature_count,baseline_macro_f1,importance_mean_sum,positive_importance_sum,mean_importance
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,oil_price,4,0.23544973544973544,-0.016455365775752673,0.001609571193235986,-0.004113841443938168
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,persistence,4,0.23544973544973544,9.62197490186038e-05,0.0008767675890338851,2.405493725465095e-05
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ai_volume,7,0.23544973544973544,-0.044896742974422754,0.000266842309705965,-0.006413820424917537
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ai_coverage,3,0.23544973544973544,0.0,0.0,0.0
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ai_relevance,2,0.23544973544973544,-0.0004093340849866382,0.0,-0.0002046670424933191
baseline::logistic_regression,baseline,logistic_regression,ppi_history,6,0.3230817023920472,0.0511040609830315,0.06183182096963,0.008517343497171917
baseline::logistic_regression,baseline,logistic_regression,supply_chain_index,4,0.3230817023920472,0.03737491472478801,0.03737491472478801,0.009343728681197002
baseline::logistic_regression,baseline,logistic_regression,oil_price,4,0.3230817023920472,0.0026505534779854775,0.021143365709454687,0.0006626383694963694
baseline::xgboost,baseline,xgboost,ppi_history,6,0.21666666666666667,0.13786829789289673,0.14083073081867917,0.022978049648816123
baseline::xgboost,baseline,xgboost,oil_price,4,0.21666666666666667,0.06087023189339816,0.06087023189339816,0.01521755797334954
baseline::xgboost,baseline,xgboost,supply_chain_index,4,0.21666666666666667,-0.038006571959877715,0.01985859961478761,-0.009501642989969429
baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,oil_price,4,0.22922824302134648,0.0025243977217675895,0.03280079819180999,0.0006310994304418974
baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,ppi_history,6,0.22922824302134648,-0.07794983750317677,0.028004489185815537,-0.012991639583862796
baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,supply_chain_index,4,0.22922824302134648,0.014713967583514013,0.018550965984406937,0.003678491895878503
baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,persistence,4,0.22922824302134648,-0.01264148001811308,0.006945518217547055,-0.00316037000452827
baseline_with_persistence::xgboost,baseline_with_persistence,xgboost,ppi_history,6,0.19130434782608696,0.06473953692382038,0.07939747217950545,0.01078992282063673
baseline_with_persistence::xgboost,baseline_with_persistence,xgboost,oil_price,4,0.19130434782608696,-0.01946195887049338,0.0264067631830092,-0.004865489717623345
